,Name,Year,Game,FGp,FTp,3Pp,ORBp,ASTp,BLKp,DRBp,STLp
0,A.C. Green,1986,82.0,0.54,0.61,0.17,12.4,4.2,1.7,15.5,1.5
1,A.C. Green,1987,79.0,0.54,0.78,0.0,11.2,4.6,2.0,18.8,1.5
2,A.C. Green,1988,82.0,0.5,0.77,0.0,11.1,4.5,1.0,19.1,1.6
3,A.C. Green,1989,82.0,0.53,0.79,0.24,12.3,5.5,1.2,20.0,1.8
4,A.C. Green,1990,82.0,0.48,0.75,0.28,11.5,4.6,1.1,18.4,1.2
5,A.C. Green,1991,82.0,0.48,0.74,0.2,11.3,4.5,0.6,16.2,1.4
6,A.C. Green,1992,82.0,0.48,0.74,0.21,11.8,6.0,0.8,18.2,1.6
7,A.C. Green,1993,82.0,0.54,0.74,0.35,11.5,5.9,0.9,17.3,1.6
8,A.C. Green,1994,82.0,0.5,0.74,0.23,11.1,6.9,0.8,18.8,1.2
9,A.C. Green,1995,82.0,0.5,0.73,0.34,8.3,6.5,0.8,20.4,1.0
10,A.C. Green,1996,82.0,0.48,0.71,0.27,9.2,4.9,0.8,20.9,1.1
11,A.C. Green,1997,55.33,0.48,0.65,0.04,9.47,4.43,0.4,20.9,1.53
12,A.C. Green,1998,82.0,0.45,0.72,0.0,9.0,7.3,0.7,19.3,1.6
13,A.C. Green,1999,50.0,0.42,0.58,0.0,9.9,4.5,0.6,17.8,1.6
14,A.C. Green,2000,82.0,0.45,0.7,0.25,9.0,5.9,0.7,17.9,1.4
15,A.C. Green,2001,82.0,0.44,0.71,0.0,9.0,4.8,0.4,17.3,1.2
16,A.J. English,1991,70.0,0.44,0.71,0.1,5.0,18.0,0.6,6.2,0.9
17,A.J. English,1992,81.0,0.43,0.84,0.18,4.8,13.7,0.3,6.3,0.9
18,A.J. Guyton,2001,33.0,0.41,0.83,0.39,1.8,18.1,0.6,5.1,0.8
19,A.J. Guyton,2002,45.0,0.36,0.82,0.37,2.3,23.6,0.9,6.3,0.9
20,A.J. Hammons,2017,22.0,0.4,0.45,0.5,5.4,3.8,7.2,20.9,0.3
21,A.J. Price,2010,56.0,0.41,0.8,0.34,1.5,20.5,0.2,9.7,2.0
22,A.J. Price,2011,50.0,0.36,0.67,0.28,2.3,22.7,0.1,7.8,1.8
23,A.J. Price,2012,44.0,0.34,0.8,0.3,2.6,23.9,0.3,9.4,1.9
24,A.J. Price,2013,57.0,0.39,0.79,0.35,1.7,26.4,0.2,8.2,1.3
25,A.J. Price,2014,28.0,0.41,0.0,0.27,1.1,21.5,0.0,10.2,0.5
26,A.J. Price,2015,15.67,0.36,0.67,0.22,2.9,23.63,0.0,10.0,1.33
27,A.J. Wynder,1991,6.0,0.25,0.75,0.0,3.1,24.0,0.0,5.2,1.3
28,Aaron Brooks,2008,51.0,0.41,0.86,0.33,2.5,23.5,0.6,7.9,1.1
29,Aaron Brooks,2009,80.0,0.4,0.87,0.37,2.0,20.2,0.3,7.0,1.2
30,Aaron Brooks,2010,82.0,0.43,0.82,0.4,2.0,25.6,0.3,6.6,1.2
31,Aaron Brooks,2011,39.33,0.38,0.88,0.3,1.83,29.8,0.2,5.07,1.33
32,Aaron Brooks,2013,49.5,0.46,0.77,0.38,1.45,17.9,0.7,8.0,1.5
33,Aaron Brooks,2014,48.0,0.4,0.87,0.39,3.17,23.03,0.6,6.63,1.63
34,Aaron Brooks,2015,82.0,0.42,0.83,0.39,1.9,24.2,0.6,7.5,1.5
35,Aaron Brooks,2016,69.0,0.4,0.77,0.36,2.0,26.0,0.7,7.5,1.4
36,Aaron Brooks,2017,65.0,0.4,0.8,0.38,2.3,20.7,0.9,6.3,1.4
37,Aaron Gordon,2015,47.0,0.45,0.72,0.27,6.4,6.3,2.2,17.8,1.3
38,Aaron Gordon,2016,78.0,0.47,0.67,0.3,9.0,10.3,2.4,21.3,1.6
39,Aaron Gordon,2017,80.0,0.45,0.72,0.29,5.3,10.5,1.4,14.1,1.4
40,Aaron Gray,2008,61.0,0.5,0.57,0.0,12.5,11.4,2.0,18.7,1.8
41,Aaron Gray,2009,56.0,0.48,0.58,0.0,13.5,9.6,1.8,21.7,1.0
42,Aaron Gray,2014,35.0,0.44,0.55,0.0,13.1,8.65,1.85,22.05,1.45
43,Aaron Harrison,2016,21.0,0.26,0.42,0.3,4.7,3.0,0.0,13.1,3.2
44,Aaron Harrison,2017,5.0,0.0,0.5,0.0,0.0,22.6,0.0,19.5,0.0
45,Aaron McKie,1995,45.0,0.44,0.68,0.39,4.6,15.9,1.4,13.5,2.2
46,Aaron McKie,1996,81.0,0.47,0.76,0.32,4.4,14.6,0.7,10.9,2.1
47,Aaron McKie,1997,55.33,0.4,0.84,0.4,3.03,15.43,1.1,13.2,2.6
48,Aaron McKie,1998,54.0,0.38,0.77,0.19,4.2,14.57,0.47,11.17,2.93
49,Aaron McKie,1999,50.0,0.4,0.71,0.19,3.2,17.9,0.2,14.0,3.6
50,Aaron McKie,2000,82.0,0.41,0.83,0.36,2.6,19.5,0.7,11.4,2.9
51,Aaron McKie,2001,76.0,0.47,0.77,0.31,1.6,26.7,0.2,12.9,2.3
52,Aaron McKie,2002,48.0,0.45,0.79,0.4,2.0,21.7,0.7,12.7,2.1
53,Aaron McKie,2003,80.0,0.43,0.84,0.33,3.0,18.6,0.3,14.5,2.9
54,Aaron McKie,2004,75.0,0.46,0.76,0.44,2.5,16.8,0.9,11.5,2.2
55,Aaron McKie,2005,68.0,0.43,0.62,0.32,2.0,13.4,1.2,15.5,2.2
56,Aaron McKie,2006,14.0,0.25,0.5,0.0,2.9,12.5,0.0,16.5,2.2
57,Aaron Williams,1995,15.0,0.33,0.67,0.0,8.1,0.0,6.2,24.1,1.4
58,Aaron Williams,1997,32.5,0.57,0.67,0.0,12.5,4.75,3.75,16.75,1.55
59,Aaron Williams,1998,65.0,0.52,0.78,0.0,7.7,3.0,3.8,15.4,1.3
60,Aaron Williams,1999,40.0,0.42,0.73,0.0,13.4,7.8,3.9,18.9,1.6
61,Aaron Williams,2000,81.0,0.52,0.73,0.0,11.7,6.2,4.3,18.9,1.4
62,Aaron Williams,2001,82.0,0.46,0.79,0.0,10.1,6.5,3.6,19.2,1.3
63,Aaron Williams,2002,82.0,0.53,0.7,0.0,8.3,8.1,3.5,16.4,1.0
64,Aaron Williams,2003,81.0,0.45,0.78,0.0,9.8,9.0,2.7,13.9,0.9
65,Aaron Williams,2004,72.0,0.5,0.68,0.33,8.9,10.4,2.7,17.0,1.4
66,Aaron Williams,2007,38.0,0.55,0.82,0.0,8.7,2.9,2.9,18.4,1.0
67,Abdul Jeelani,1980,77.0,0.51,0.79,0.0,9.6,11.6,1.8,13.5,1.5
68,Abdul Jeelani,1981,66.0,0.42,0.81,0.0,8.2,9.2,1.6,15.7,1.9
69,Acie Earl,1994,74.0,0.41,0.68,0.0,8.3,1.5,2.9,16.0,1.0
70,Acie Earl,1996,42.0,0.42,0.72,0.0,9.2,6.9,4.3,14.3,1.4
71,Acie Earl,1997,42.5,0.37,0.64,0.0,8.1,6.6,4.6,14.2,1.5
72,Acie Law,2008,56.0,0.4,0.79,0.21,1.6,20.4,0.0,6.0,1.8
73,Acie Law,2009,55.0,0.37,0.82,0.31,1.3,23.4,0.4,10.9,1.1
74,Acie Law,2010,13.0,0.47,0.79,0.24,0.98,16.92,0.72,5.62,2.42
75,Acie Law,2011,34.0,0.35,0.7,0.12,2.43,17.17,0.0,8.8,2.2
76,Adam Harrington,2003,12.67,0.29,0.75,0.35,0.83,16.27,0.9,7.27,1.0
77,Adam Keefe,1993,82.0,0.5,0.7,0.0,11.8,7.0,0.7,19.5,1.8
78,Adam Keefe,1996,82.0,0.52,0.69,0.0,13.0,5.5,2.0,19.5,1.6
79,Adam Keefe,1997,62.0,0.51,0.69,0.0,10.9,5.0,1.2,18.2,1.7
80,Adam Keefe,1999,44.0,0.45,0.7,0.0,10.5,7.2,1.4,16.1,1.4
81,Adam Keefe,2000,62.0,0.41,0.81,0.0,9.3,8.5,1.7,18.0,1.5
82,Adam Keefe,2001,67.0,0.4,0.62,0.33,10.5,6.5,1.7,16.4,1.7
83,Adam Morrison,2007,78.0,0.38,0.71,0.34,2.7,11.9,0.2,9.2,0.6
84,Adam Morrison,2009,34.67,0.35,0.67,0.31,3.77,9.33,0.33,12.03,0.47
85,Adam Morrison,2010,31.0,0.38,0.62,0.24,4.7,11.3,0.6,10.1,0.6
86,Adonal Foyle,1998,55.0,0.41,0.44,0.0,11.5,3.5,5.4,18.6,1.0
87,Adonal Foyle,2003,82.0,0.54,0.67,0.0,10.6,3.1,7.6,18.5,1.1
88,Adonis Jordan,1999,4.0,0.5,0.5,0.0,0.0,27.0,0.0,0.0,9.2
89,Adonis Thomas,2014,5.0,0.38,1.0,0.1,0.0,13.3,0.0,11.7,0.0
90,Adreian Payne,2015,21.33,0.37,0.6,0.08,6.87,4.33,0.67,17.97,1.77
91,Adreian Payne,2016,52.0,0.37,0.65,0.28,4.8,8.9,1.8,21.5,1.7
92,Adreian Payne,2017,18.0,0.43,0.74,0.2,7.7,8.0,4.4,21.0,3.0
93,Adrian Branch,1987,32.0,0.5,0.78,0.0,12.6,10.0,0.8,14.2,3.5
94,Adrian Branch,1988,20.0,0.42,0.87,0.2,7.3,8.3,2.2,10.9,2.5
95,Adrian Branch,1989,67.0,0.46,0.72,0.23,8.2,10.8,0.2,9.6,2.6
96,Adrian Branch,1990,11.0,0.41,0.64,1.0,9.9,8.8,0.0,16.9,3.5
97,Adrian Caldwell,1991,42.0,0.42,0.41,0.0,13.4,3.1,1.7,17.6,2.7
98,Adrian Caldwell,1997,31.5,0.36,0.47,0.0,10.35,3.3,0.7,20.95,1.7
99,Adrian Dantley,1980,68.0,0.58,0.84,0.0,8.3,12.3,0.3,14.0,1.8
100,Adrian Dantley,1981,80.0,0.56,0.81,0.29,6.5,16.3,0.3,10.5,1.6
101,Adrian Dantley,1982,81.0,0.57,0.79,0.33,7.6,15.5,0.2,9.6,1.4
102,Adrian Dantley,1984,79.0,0.56,0.86,0.25,6.7,16.2,0.1,9.0,0.9
103,Adrian Dantley,1986,76.0,0.56,0.79,0.09,7.2,16.7,0.1,8.5,1.1
104,Adrian Dantley,1987,81.0,0.53,0.81,0.17,4.2,8.8,0.1,8.7,1.1
105,Adrian Dantley,1988,69.0,0.51,0.86,0.0,4.5,11.9,0.3,7.3,0.9
106,Adrian Dantley,1989,52.0,0.48,0.79,0.0,6.05,11.25,0.35,9.0,0.9
107,Adrian Dantley,1990,45.0,0.48,0.79,0.0,6.9,9.6,0.3,8.1,0.8
108,Adrian Dantley,1991,10.0,0.38,0.69,0.33,7.4,10.4,0.0,4.8,2.0
109,Adrian Griffin,2000,72.0,0.42,0.75,0.28,7.2,13.4,0.6,15.2,3.1
110,Adrian Griffin,2001,44.0,0.34,0.75,0.35,8.0,11.7,1.0,19.4,2.5
111,Adrian Griffin,2002,58.0,0.5,0.84,0.3,5.6,11.3,0.6,12.7,2.8
112,Adrian Griffin,2003,74.0,0.43,0.84,0.25,7.1,11.0,0.3,14.1,2.9
113,Adrian Griffin,2004,19.0,0.28,0.0,0.5,0.9,11.6,1.2,15.2,2.9
114,Adrian Griffin,2005,69.0,0.36,0.75,0.22,8.8,12.6,0.4,15.7,3.3
115,Adrian Griffin,2006,52.0,0.48,0.77,0.0,7.4,10.8,0.6,14.4,2.2
116,Adrian Griffin,2007,54.0,0.47,0.79,0.0,7.9,15.2,0.5,13.4,2.8
117,Al Harrington,1999,21.0,0.32,0.6,0.0,15.1,5.2,0.9,13.8,1.4
118,Al Harrington,2000,50.0,0.46,0.7,0.24,6.4,7.1,0.7,14.2,1.5
119,Al Harrington,2001,78.0,0.44,0.66,0.14,7.4,11.8,0.7,15.2,1.8
120,Al Harrington,2002,44.0,0.48,0.8,0.33,8.5,7.3,1.1,15.1,1.6
121,Al Harrington,2003,82.0,0.43,0.77,0.28,7.4,8.8,1.0,15.7,1.5
122,Al Harrington,2004,79.0,0.46,0.73,0.27,7.8,10.3,0.7,16.9,1.8
123,Al Harrington,2005,66.0,0.46,0.67,0.22,6.3,14.5,0.5,15.2,1.8
124,Al Harrington,2006,76.0,0.45,0.69,0.35,5.5,15.8,0.4,17.4,1.6
125,Al Harrington,2007,52.0,0.46,0.7,0.44,6.53,9.73,0.7,15.4,1.27
126,Al Harrington,2008,81.0,0.43,0.77,0.38,5.0,8.9,0.5,16.9,1.6
127,Al Harrington,2009,48.67,0.4,0.7,0.37,4.9,7.43,0.43,14.57,1.83
128,Al Harrington,2010,72.0,0.44,0.76,0.34,4.5,8.6,0.9,16.7,1.4
129,Al Harrington,2011,73.0,0.42,0.74,0.36,5.4,9.6,0.5,17.2,1.2
130,Al Harrington,2012,64.0,0.45,0.68,0.33,4.9,8.2,0.5,20.4,1.7
131,Al Harrington,2013,10.0,0.35,0.75,0.27,5.7,13.7,0.6,19.9,1.8
132,Al Harrington,2014,34.0,0.4,0.77,0.34,3.3,8.7,0.0,15.0,1.4
133,Al Horford,2008,81.0,0.5,0.73,0.0,11.4,7.9,2.2,24.5,1.2
134,Al Horford,2009,67.0,0.52,0.73,0.0,7.6,11.9,3.3,25.0,1.3
135,Al Horford,2010,81.0,0.55,0.79,1.0,9.6,10.4,2.4,23.3,1.1
136,Al Horford,2011,77.0,0.56,0.8,0.5,8.2,17.5,2.3,23.7,1.2
137,Al Horford,2012,11.0,0.55,0.73,0.0,8.8,11.7,3.1,17.1,1.5
138,Al Horford,2013,74.0,0.54,0.64,0.5,8.2,15.3,2.2,23.0,1.5
139,Al Horford,2014,29.0,0.57,0.68,0.36,8.0,15.2,3.6,21.4,1.4
140,Al Horford,2015,76.0,0.54,0.76,0.31,6.7,18.6,3.5,19.8,1.5
141,Al Horford,2016,82.0,0.5,0.8,0.34,6.3,16.7,3.6,18.2,1.3
142,Al Horford,2017,68.0,0.47,0.8,0.36,4.9,24.4,3.3,18.6,1.2
143,Al Jefferson,2005,71.0,0.53,0.63,0.0,13.5,3.9,3.9,21.0,1.1
144,Al Jefferson,2006,59.0,0.5,0.64,0.0,11.4,5.0,3.3,22.6,1.5
145,Al Jefferson,2007,69.0,0.51,0.68,0.0,12.0,7.2,3.5,27.4,1.1
146,Al Jefferson,2008,82.0,0.5,0.72,0.0,11.9,7.5,3.2,24.7,1.3
147,Al Jefferson,2009,50.0,0.5,0.74,0.0,10.6,8.8,3.5,24.9,1.1
148,Al Jefferson,2010,76.0,0.5,0.68,0.0,8.0,10.0,3.0,24.2,1.3
149,Al Jefferson,2012,61.0,0.49,0.77,0.25,7.3,12.1,3.9,25.3,1.2
150,Al Jefferson,2013,78.0,0.49,0.77,0.12,7.0,12.0,2.7,25.9,1.6
151,Al Jefferson,2014,73.0,0.51,0.69,0.2,6.9,12.8,2.4,28.3,1.4
152,Al Jefferson,2015,65.0,0.48,0.66,0.4,5.3,11.6,3.3,25.5,1.2
153,Al Jefferson,2017,66.0,0.5,0.76,0.0,9.2,11.0,1.5,24.2,1.0
154,Al Thornton,2008,79.0,0.43,0.74,0.33,5.2,8.4,1.5,14.0,1.1
155,Al Thornton,2009,71.0,0.45,0.75,0.25,5.2,6.9,1.7,11.0,1.2
156,Al Thornton,2010,50.0,0.47,0.72,0.36,6.2,7.13,1.33,10.4,1.2
157,Al Thornton,2011,47.33,0.48,0.79,0.1,4.23,6.73,0.67,14.33,1.23
158,Al Wood,1982,32.0,0.44,0.77,0.1,7.2,8.63,0.53,10.67,1.67
159,Al Wood,1983,76.0,0.46,0.77,0.3,5.6,10.1,1.2,9.5,1.4
160,Al Wood,1984,81.0,0.49,0.82,0.14,4.8,11.2,0.8,9.2,1.4
161,Al Wood,1985,80.0,0.48,0.78,0.21,4.5,14.7,1.2,8.2,1.6
162,Al Wood,1986,78.0,0.44,0.78,0.14,5.3,10.3,0.7,11.4,1.6
163,Al Wood,1987,54.0,0.39,0.78,0.28,6.5,7.2,0.9,8.9,1.4
164,Al-Farouq Aminu,2011,81.0,0.39,0.77,0.32,6.1,6.4,1.3,15.4,2.1
165,Al-Farouq Aminu,2012,66.0,0.41,0.75,0.28,7.8,7.2,1.9,16.9,2.2
166,Al-Farouq Aminu,2013,76.0,0.48,0.74,0.21,7.9,7.8,2.1,26.2,2.4
167,Al-Farouq Aminu,2014,80.0,0.47,0.66,0.27,7.2,8.4,1.6,21.2,2.1
168,Al-Farouq Aminu,2015,74.0,0.41,0.71,0.27,9.1,6.1,3.7,18.4,2.6
169,Al-Farouq Aminu,2016,82.0,0.42,0.74,0.36,4.5,8.8,1.8,18.6,1.5
170,Al-Farouq Aminu,2017,61.0,0.39,0.71,0.33,4.8,7.9,2.0,23.5,1.7
171,Alaa Abdelnaby,1993,43.5,0.49,0.75,0.0,9.8,6.25,1.4,18.2,1.45
172,Alaa Abdelnaby,1995,52.5,0.52,0.57,0.0,8.6,5.15,1.85,17.35,1.55
173,Alan Anderson,2006,36.0,0.41,0.8,0.41,4.4,9.3,0.6,10.3,1.0
174,Alan Anderson,2007,17.0,0.46,0.83,0.25,4.9,13.8,0.0,10.0,1.4
175,Alan Anderson,2012,17.0,0.39,0.85,0.39,2.1,9.5,0.5,6.5,0.6
176,Alan Anderson,2013,65.0,0.38,0.86,0.33,2.7,11.7,0.4,9.2,1.7
177,Alan Anderson,2014,78.0,0.4,0.78,0.34,2.7,7.3,0.5,9.1,1.4
178,Alan Anderson,2015,74.0,0.44,0.81,0.35,2.0,7.2,0.2,11.1,1.7
179,Alan Anderson,2016,13.0,0.36,0.73,0.32,0.6,10.3,0.4,15.5,1.0
180,Alan Anderson,2017,30.0,0.38,0.75,0.32,1.1,4.9,0.0,7.4,0.5
181,Alan Hardy,1982,38.0,0.46,0.62,0.0,4.8,9.2,0.7,7.3,1.3
182,Alan Henderson,1996,79.0,0.44,0.6,0.0,13.2,5.8,2.4,16.7,1.7
183,Alan Henderson,1998,69.0,0.48,0.65,0.5,12.2,6.7,1.3,13.8,1.1
184,Alan Henderson,1999,38.0,0.44,0.67,0.0,10.3,5.2,1.2,15.3,1.6
185,Alan Henderson,2000,82.0,0.46,0.67,0.1,10.5,4.6,1.3,12.1,1.5
186,Alan Henderson,2001,73.0,0.44,0.64,0.0,11.0,4.9,1.1,14.0,1.5
187,Alan Henderson,2002,26.0,0.51,0.53,1.0,8.4,4.4,2.6,17.9,1.4
188,Alan Henderson,2003,82.0,0.47,0.64,0.0,12.4,4.5,1.5,17.8,1.2
189,Alan Henderson,2005,78.0,0.53,0.54,0.0,15.6,2.6,2.3,16.8,1.2
190,Alan Ogg,1991,31.0,0.44,0.6,0.0,6.3,1.0,6.3,14.8,1.1
191,Alan Williams,2017,47.0,0.52,0.62,0.0,14.0,5.2,3.7,31.2,1.8
192,Alando Tucker,2008,6.0,0.36,0.83,0.25,10.2,0.0,1.4,8.7,0.0
193,Alando Tucker,2009,30.0,0.43,0.79,0.35,8.2,6.4,0.3,4.8,0.9
194,Alando Tucker,2010,13.0,0.43,0.76,0.14,7.9,6.4,0.0,3.8,0.0
195,Albert King,1982,76.0,0.48,0.78,0.23,6.9,12.8,1.2,14.0,1.8
196,Albert King,1983,79.0,0.48,0.78,0.26,7.3,18.2,1.0,13.6,1.8
197,Albert King,1984,79.0,0.49,0.79,0.14,6.7,14.0,0.9,14.5,2.0
198,Albert King,1985,42.0,0.49,0.82,0.0,8.8,10.2,0.6,12.0,2.3
199,Albert King,1986,73.0,0.46,0.82,0.17,6.5,13.4,0.7,14.1,1.3
200,Albert King,1987,61.0,0.43,0.81,0.41,7.2,12.1,1.3,11.5,1.2
201,Albert King,1988,72.0,0.39,0.76,0.35,5.2,10.1,0.7,10.6,1.2
202,Albert King,1989,46.0,0.43,0.77,0.25,4.4,14.3,0.5,15.6,1.6
203,Albert King,1992,6.0,0.37,0.88,0.29,1.8,12.8,0.0,19.0,2.5
204,Alec Burks,2012,59.0,0.43,0.73,0.33,6.9,9.5,0.4,9.3,1.5
205,Alec Burks,2013,64.0,0.42,0.71,0.36,3.8,13.0,0.9,11.2,1.6
206,Alec Burks,2014,78.0,0.46,0.75,0.35,3.0,16.9,0.5,10.7,1.7
207,Alec Burks,2015,27.0,0.4,0.82,0.38,2.5,15.2,0.4,12.1,1.0
208,Alec Burks,2016,31.0,0.41,0.75,0.4,2.4,13.9,0.4,13.6,1.2
209,Alec Burks,2017,42.0,0.4,0.77,0.33,3.1,7.5,0.6,17.7,1.4
210,Alec Kessler,1991,78.0,0.42,0.67,0.0,10.0,3.7,1.3,20.0,0.7
211,Alec Kessler,1993,40.0,0.47,0.77,0.46,6.8,5.2,1.9,18.6,0.5
212,Alec Kessler,1994,15.0,0.44,0.75,0.56,6.9,4.7,1.0,10.3,0.8
213,Aleksandar Djordjevic,1997,8.0,0.5,0.8,0.71,2.0,13.1,0.0,7.6,0.0
214,Alex Abrines,2017,68.0,0.39,0.9,0.38,1.9,5.5,0.6,7.1,1.7
215,Alex Acker,2009,16.67,0.39,0.5,0.26,3.17,9.87,2.2,10.3,2.57
216,Alex Blackwell,1993,27.0,0.33,0.75,0.0,10.4,9.1,1.1,13.7,1.8
217,Alex Bradley,1982,39.0,0.52,0.6,0.0,10.5,4.6,0.9,12.0,1.7
218,Alex English,1980,52.0,0.5,0.79,0.33,11.4,14.03,1.47,14.93,1.43
219,Alex English,1981,81.0,0.49,0.85,0.6,8.8,13.4,1.6,12.6,1.5
220,Alex English,1982,82.0,0.55,0.84,0.0,7.7,19.9,2.0,12.0,1.3
221,Alex English,1983,82.0,0.52,0.83,0.17,8.9,19.5,2.1,11.5,1.7
222,Alex English,1984,82.0,0.53,0.82,0.14,7.7,20.9,1.7,9.3,1.3
223,Alex English,1985,81.0,0.52,0.83,0.2,7.0,17.9,0.9,9.9,1.5
224,Alex English,1986,81.0,0.5,0.86,0.2,6.3,17.0,0.5,7.7,1.1
225,Alex English,1987,82.0,0.5,0.84,0.27,4.7,21.6,0.4,7.2,1.1
226,Alex English,1988,80.0,0.5,0.83,0.0,6.0,20.5,0.5,8.0,1.1
227,Alex English,1989,82.0,0.49,0.86,0.25,4.8,19.7,0.2,6.5,1.0
228,Alex English,1990,80.0,0.49,0.88,0.4,5.3,15.6,0.6,8.4,1.1
229,Alex English,1991,79.0,0.44,0.85,0.0,7.0,9.5,0.9,9.5,1.2
230,Alex Garcia,2005,8.0,0.35,0.75,0.28,5.5,22.1,0.6,6.8,1.5
231,Alex Len,2015,69.0,0.51,0.7,0.33,10.2,3.1,5.3,22.7,1.1
232,Alex Len,2016,78.0,0.42,0.73,0.14,10.4,8.5,2.8,25.4,1.0
233,Alex Len,2017,77.0,0.5,0.72,0.25,10.6,4.2,5.1,25.3,1.1
234,Alex Poythress,2017,6.0,0.46,0.8,0.32,7.7,5.1,1.0,12.7,0.9
235,Alex Stivrins,1993,19.0,0.49,0.75,0.0,10.3,6.2,1.6,17.8,1.3
236,Alexander Volkov,1990,72.0,0.48,0.58,0.38,6.2,12.3,1.4,8.5,1.9
237,Alexander Volkov,1992,77.0,0.44,0.63,0.32,7.1,23.2,1.2,11.6,2.1
238,Alexey Shved,2013,77.0,0.37,0.72,0.3,2.5,25.2,1.1,8.6,1.5
239,Alexey Shved,2014,63.0,0.32,0.76,0.29,3.4,14.9,1.8,10.1,1.9
240,Alexey Shved,2015,21.0,0.38,0.81,0.34,2.95,22.38,0.48,9.88,1.8
241,Alexis Ajinca,2009,31.0,0.36,0.71,0.0,6.2,2.8,2.7,14.2,2.1
242,Alexis Ajinca,2011,22.67,0.43,0.71,0.37,6.4,4.67,4.43,20.67,1.8
243,Alexis Ajinca,2014,56.0,0.55,0.84,0.0,11.3,6.6,4.1,22.7,1.3
244,Alexis Ajinca,2016,59.0,0.48,0.84,0.0,9.3,5.8,3.4,25.9,1.1
245,Alexis Ajinca,2017,39.0,0.5,0.72,0.0,8.3,3.1,3.1,23.8,1.7
246,Alfredrick Hughes,1986,68.0,0.41,0.58,0.18,6.6,9.6,0.3,8.2,1.4
247,Allan Bristow,1980,82.0,0.48,0.81,0.29,9.0,21.4,0.1,16.7,1.9
248,Allan Bristow,1981,82.0,0.44,0.84,0.28,6.0,27.0,0.1,18.5,1.5
249,Allan Bristow,1982,82.0,0.44,0.82,0.17,6.5,29.3,0.2,12.8,1.6
250,Allan Bristow,1983,37.0,0.44,0.71,0.46,6.8,23.2,0.1,10.3,0.8
251,Allan Houston,1994,79.0,0.4,0.82,0.3,1.4,10.5,0.6,7.5,1.1
252,Allan Houston,1995,76.0,0.46,0.86,0.42,1.7,14.3,0.5,8.1,1.6
253,Allan Houston,1996,82.0,0.45,0.82,0.43,2.2,15.5,0.4,9.3,1.1
254,Allan Houston,1997,81.0,0.42,0.8,0.38,2.0,11.9,0.5,8.5,0.8
255,Allan Houston,1998,82.0,0.45,0.85,0.38,1.8,14.3,0.7,9.8,1.2
256,Allan Houston,1999,50.0,0.42,0.86,0.41,1.3,15.0,0.4,8.3,1.1
257,Allan Houston,2000,82.0,0.48,0.84,0.44,1.5,13.2,0.3,8.5,1.1
258,Allan Houston,2001,78.0,0.45,0.91,0.38,0.9,12.0,0.3,10.8,1.0
259,Allan Houston,2002,77.0,0.44,0.87,0.39,1.5,12.6,0.3,8.6,1.0
260,Allan Houston,2003,82.0,0.44,0.92,0.4,1.0,13.2,0.2,7.9,0.9
261,Allan Houston,2004,50.0,0.44,0.91,0.43,1.3,10.3,0.1,6.4,1.1
262,Allan Houston,2005,20.0,0.42,0.84,0.39,0.9,13.4,0.3,4.2,0.8
263,Allan Ray,2007,47.0,0.39,0.76,0.41,3.0,10.5,0.3,8.8,1.5
264,Allen Crabbe,2014,15.0,0.36,0.75,0.43,1.1,8.7,0.7,8.5,1.0
265,Allen Crabbe,2015,51.0,0.41,0.75,0.35,1.1,8.1,1.6,10.1,1.4
266,Allen Crabbe,2016,81.0,0.46,0.87,0.39,1.4,7.2,0.6,9.7,1.5
267,Allen Crabbe,2017,79.0,0.47,0.85,0.44,0.9,6.1,0.7,10.2,1.2
268,Allen Iverson,1997,76.0,0.42,0.7,0.34,4.0,33.6,0.6,7.2,2.6
269,Allen Iverson,1998,80.0,0.46,0.73,0.3,3.1,30.6,0.6,7.7,3.0
270,Allen Iverson,1999,48.0,0.41,0.75,0.29,3.8,24.2,0.3,10.1,3.0
271,Allen Iverson,2000,70.0,0.42,0.71,0.34,2.7,23.0,0.1,7.7,2.6
272,Allen Iverson,2001,71.0,0.42,0.81,0.32,1.9,23.0,0.5,8.3,3.2
273,Allen Iverson,2002,60.0,0.4,0.81,0.29,1.9,27.6,0.4,9.6,3.5
274,Allen Iverson,2003,82.0,0.41,0.77,0.28,2.3,25.1,0.3,9.5,3.4
275,Allen Iverson,2004,48.0,0.39,0.74,0.29,2.0,34.4,0.2,8.2,3.1
276,Allen Iverson,2005,75.0,0.42,0.84,0.31,1.8,37.6,0.2,8.9,2.9
277,Allen Iverson,2006,72.0,0.45,0.81,0.32,1.7,34.9,0.2,7.1,2.3
278,Allen Iverson,2007,43.33,0.44,0.81,0.3,1.07,30.63,0.27,6.8,2.33
279,Allen Iverson,2008,82.0,0.46,0.81,0.34,1.5,27.4,0.2,6.1,2.2
280,Allen Iverson,2009,38.0,0.43,0.76,0.27,2.07,24.0,0.33,7.07,1.97
281,Allen Iverson,2010,18.67,0.47,0.71,0.56,2.0,23.13,0.13,7.63,1.07
282,Allen Leavell,1980,77.0,0.5,0.81,0.16,2.9,26.3,0.7,6.8,2.8
283,Allen Leavell,1981,79.0,0.47,0.83,0.12,2.0,30.4,0.5,6.9,2.7
284,Allen Leavell,1982,79.0,0.47,0.85,0.29,2.4,29.8,0.4,6.3,3.4
285,Allen Leavell,1983,79.0,0.42,0.83,0.24,2.5,30.1,0.3,5.7,3.0
